"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"0","2","0","1","0","0","0.378",0
"2","0","0","1","0","0","0.378",0
"0","0","0","1","0","0","0.198",0
"2","1","0","1","0","0","0.496",0
"0","1","0","1","0","0","0.236",0
"2","2","1","1","0","0","0.552",0
"0","2","1","1","0","0","0.42",0
"2","0","1","1","0","0","0.406",0
"0","0","1","1","0","0","0.212",0
"2","1","1","1","0","0","0.496",0
"0","1","1","1","0","0","0.242",0
"2","2","2","2","1","0","0.962",0
"0","2","2","2","1","0","0.914",0
"2","0","2","2","1","0","0.912",0
"0","0","2","2","1","0","0.782",0
"2","1","2","2","1","0","0.964",0
"0","1","2","2","1","0","0.866",0
"2","2","0","2","1","0","0.792",0
"0","2","0","2","1","0","0.674",0
"2","0","0","2","1","0","0.598",0
"0","0","0","2","1","0","0.404",0
"2","1","0","2","1","0","0.746",0
"0","1","0","2","1","0","0.558",0
"2","2","1","2","1","0","0.824",0
"0","2","1","2","1","0","0.724",0
"2","0","1","2","1","0","0.624",0
"0","0","1","2","1","0","0.43",0
"2","1","1","2","1","0","0.754",0
"0","1","1","2","1","0","0.59",0
"2","2","2","0","1","0","0.658",0
"0","2","2","0","1","0","0.398",0
"2","0","2","0","1","0","0.698",0
"0","0","2","0","1","0","0.42",0
"2","1","2","0","1","0","0.704",0
"0","1","2","0","1","0","0.42",0
"2","2","0","0","1","0","0.258",0
"0","2","0","0","1","0","0.004",0
"2","0","0","0","1","0","0.22",0
"0","0","0","0","1","0","0.008",0
"2","1","0","0","1","0","0.314",0
"0","1","0","0","1","0","0.026",0
"2","2","1","0","1","0","0.278",0
"0","2","1","0","1","0","0.068",0
"2","0","1","0","1","0","0.234",0
"0","0","1","0","1","0","0.044",0
"2","1","1","0","1","0","0.314",0
"0","1","1","0","1","0","0.066",0
"2","2","2","1","1","0","0.892",0
"0","2","2","1","1","0","0.788",0
"2","0","2","1","1","0","0.866",0
"0","0","2","1","1","0","0.684",0
"2","1","2","1","1","0","0.864",0
"0","1","2","1","1","0","0.67",0
"2","2","0","1","1","0","0.672",0
"0","2","0","1","1","0","0.482",0
"2","0","0","1","1","0","0.53",0
"0","0","0","1","1","0","0.31",0
"2","1","0","1","1","0","0.614",0
"0","1","0","1","1","0","0.294",0
"2","2","1","1","1","0","0.674",0
"0","2","1","1","1","0","0.534",0
"2","0","1","1","1","0","0.54",0
"0","0","1","1","1","0","0.334",0
"2","1","1","1","1","0","0.58",0
"0","1","1","1","1","0","0.306",0
"2","2","2","2","2","2","0.974",0
"0","2","2","2","2","2","0.958",0
"2","0","2","2","2","2","0.884",0
"0","0","2","2","2","2","0.846",0
"2","1","2","2","2","2","0.96",0
"0","1","2","2","2","2","0.912",0
"2","2","0","2","2","2","0.83",0
"0","2","0","2","2","2","0.758",0
"2","0","0","2","2","2","0.686",0
"0","0","0","2","2","2","0.56",0
"2","1","0","2","2","2","0.814",0
"0","1","0","2","2","2","0.69",0
"2","2","1","2","2","2","0.846",0
"0","2","1","2","2","2","0.774",0
"2","0","1","2","2","2","0.698",0
"0","0","1","2","2","2","0.57",0
"2","1","1","2","2","2","0.802",0
"0","1","1","2","2","2","0.678",0
"2","2","2","0","2","2","0.724",0
"0","2","2","0","2","2","0.554",0
"2","0","2","0","2","2","0.688",0
"0","0","2","0","2","2","0.524",0
"2","1","2","0","2","2","0.766",0
"0","1","2","0","2","2","0.594",0
"2","2","0","0","2","2","0.414",0
"0","2","0","0","2","2","0.238",0
"2","0","0","0","2","2","0.344",0
"0","0","0","0","2","2","0.182",0
"2","1","0","0","2","2","0.45",0
"0","1","0","0","2","2","0.276",0
