"gov","minoria","pmdb","psd","psdb","pt","TIPO","pps","pr","prp","resultado"
"Sim","Não","Não","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",202.089280164173
"Não","Não","Não","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",198.944781886752
"Sim","Liberado","Não","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",208.826210383802
"Não","Liberado","Não","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",208.287211779807
"Sim","Sim","Liberado","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",256.311933266678
"Não","Sim","Liberado","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",251.989341857415
"Sim","Não","Liberado","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",229.382348512232
"Não","Não","Liberado","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",228.986581023015
"Sim","Liberado","Liberado","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",234.320672461647
"Não","Liberado","Liberado","Liberado","Liberado","Sim","MPV","Sim","Sim","Sim",237.102201650301
"Sim","Sim","Sim","Sim","Sim","Não","MPV","Sim","Sim","Sim",323.062629803829
"Não","Sim","Sim","Sim","Sim","Não","MPV","Sim","Sim","Sim",313.812279359536
"Sim","Não","Sim","Sim","Sim","Não","MPV","Sim","Sim","Sim",306.22078160374
"Não","Não","Sim","Sim","Sim","Não","MPV","Sim","Sim","Sim",298.878441598783
"Sim","Liberado","Sim","Sim","Sim","Não","MPV","Sim","Sim","Sim",314.56656202137
"Não","Liberado","Sim","Sim","Sim","Não","MPV","Sim","Sim","Sim",309.097225775812
"Sim","Sim","Não","Sim","Sim","Não","MPV","Sim","Sim","Sim",259.497952326955
"Não","Sim","Não","Sim","Sim","Não","MPV","Sim","Sim","Sim",255.755589397439
"Sim","Não","Não","Sim","Sim","Não","MPV","Sim","Sim","Sim",240.146131139283
"Não","Não","Não","Sim","Sim","Não","MPV","Sim","Sim","Sim",236.577514155636
"Sim","Liberado","Não","Sim","Sim","Não","MPV","Sim","Sim","Sim",250.064482294884
"Não","Liberado","Não","Sim","Sim","Não","MPV","Sim","Sim","Sim",248.858612353084
"Sim","Sim","Liberado","Sim","Sim","Não","MPV","Sim","Sim","Sim",284.080556701834
"Não","Sim","Liberado","Sim","Sim","Não","MPV","Sim","Sim","Sim",279.768659839201
"Sim","Não","Liberado","Sim","Sim","Não","MPV","Sim","Sim","Sim",267.609730707558
"Não","Não","Liberado","Sim","Sim","Não","MPV","Sim","Sim","Sim",265.245156757872
"Sim","Liberado","Liberado","Sim","Sim","Não","MPV","Sim","Sim","Sim",276.671747524318
"Não","Liberado","Liberado","Sim","Sim","Não","MPV","Sim","Sim","Sim",277.015337480773
"Sim","Sim","Sim","Não","Sim","Não","MPV","Sim","Sim","Sim",282.655119739644
"Não","Sim","Sim","Não","Sim","Não","MPV","Sim","Sim","Sim",272.234535260578
"Sim","Não","Sim","Não","Sim","Não","MPV","Sim","Sim","Sim",264.254336995111
"Não","Não","Sim","Não","Sim","Não","MPV","Sim","Sim","Sim",255.937409053565
"Sim","Liberado","Sim","Não","Sim","Não","MPV","Sim","Sim","Sim",274.041340778925
"Não","Liberado","Sim","Não","Sim","Não","MPV","Sim","Sim","Sim",267.57131051043
"Sim","Sim","Não","Não","Sim","Não","MPV","Sim","Sim","Sim",223.890557144418
"Não","Sim","Não","Não","Sim","Não","MPV","Sim","Sim","Sim",219.441844515131
"Sim","Não","Não","Não","Sim","Não","MPV","Sim","Sim","Sim",199.540545431751
"Não","Não","Não","Não","Sim","Não","MPV","Sim","Sim","Sim",194.196014174047
"Sim","Liberado","Não","Não","Sim","Não","MPV","Sim","Sim","Sim",212.843836847702
"Não","Liberado","Não","Não","Sim","Não","MPV","Sim","Sim","Sim",209.284910869746
"Sim","Sim","Liberado","Não","Sim","Não","MPV","Sim","Sim","Sim",251.539377808963
"Não","Sim","Liberado","Não","Sim","Não","MPV","Sim","Sim","Sim",247.13519878113
"Sim","Não","Liberado","Não","Sim","Não","MPV","Sim","Sim","Sim",231.122574377922
"Não","Não","Liberado","Não","Sim","Não","MPV","Sim","Sim","Sim",227.529237088493
"Sim","Liberado","Liberado","Não","Sim","Não","MPV","Sim","Sim","Sim",242.764961954387
"Não","Liberado","Liberado","Não","Sim","Não","MPV","Sim","Sim","Sim",241.615682484752
"Sim","Sim","Sim","Liberado","Sim","Não","MPV","Sim","Sim","Sim",296.29705572158
"Não","Sim","Sim","Liberado","Sim","Não","MPV","Sim","Sim","Sim",289.64345308665
"Sim","Não","Sim","Liberado","Sim","Não","MPV","Sim","Sim","Sim",276.501864643499
"Não","Não","Sim","Liberado","Sim","Não","MPV","Sim","Sim","Sim",272.390196300321
"Sim","Liberado","Sim","Liberado","Sim","Não","MPV","Sim","Sim","Sim",284.727869600536
"Não","Liberado","Sim","Liberado","Sim","Não","MPV","Sim","Sim","Sim",282.921080016757
"Sim","Sim","Não","Liberado","Sim","Não","MPV","Sim","Sim","Sim",242.402447560375
"Não","Sim","Não","Liberado","Sim","Não","MPV","Sim","Sim","Sim",242.973148860059
"Sim","Não","Não","Liberado","Sim","Não","MPV","Sim","Sim","Sim",218.896412734887
"Não","Não","Não","Liberado","Sim","Não","MPV","Sim","Sim","Sim",219.490683832857
"Sim","Liberado","Não","Liberado","Sim","Não","MPV","Sim","Sim","Sim",229.792804709433
"Não","Liberado","Não","Liberado","Sim","Não","MPV","Sim","Sim","Sim",233.26769784925
"Sim","Sim","Liberado","Liberado","Sim","Não","MPV","Sim","Sim","Sim",267.596688133369
"Não","Sim","Liberado","Liberado","Sim","Não","MPV","Sim","Sim","Sim",266.620865023746
"Sim","Não","Liberado","Liberado","Sim","Não","MPV","Sim","Sim","Sim",246.702757581866
"Não","Não","Liberado","Liberado","Sim","Não","MPV","Sim","Sim","Sim",247.885681237606
"Sim","Liberado","Liberado","Liberado","Sim","Não","MPV","Sim","Sim","Sim",256.115193950601
"Não","Liberado","Liberado","Liberado","Sim","Não","MPV","Sim","Sim","Sim",260.340156512484
"Sim","Sim","Sim","Sim","Não","Não","MPV","Sim","Sim","Sim",300.19169208788
"Não","Sim","Sim","Sim","Não","Não","MPV","Sim","Sim","Sim",290.705273279489
"Sim","Não","Sim","Sim","Não","Não","MPV","Sim","Sim","Sim",279.103791691283
"Não","Não","Sim","Sim","Não","Não","MPV","Sim","Sim","Sim",272.443537540986
"Sim","Liberado","Sim","Sim","Não","Não","MPV","Sim","Sim","Sim",283.792038442319
"Não","Liberado","Sim","Sim","Não","Não","MPV","Sim","Sim","Sim",279.722318621409
"Sim","Sim","Não","Sim","Não","Não","MPV","Sim","Sim","Sim",232.801397242428
"Não","Sim","Não","Sim","Não","Não","MPV","Sim","Sim","Sim",223.752109495214
"Sim","Não","Não","Sim","Não","Não","MPV","Sim","Sim","Sim",209.432293147625
"Não","Não","Não","Sim","Não","Não","MPV","Sim","Sim","Sim",200.276824454438
"Sim","Liberado","Não","Sim","Não","Não","MPV","Sim","Sim","Sim",219.679073410363
"Não","Liberado","Não","Sim","Não","Não","MPV","Sim","Sim","Sim",212.406738914412
"Sim","Sim","Liberado","Sim","Não","Não","MPV","Sim","Sim","Sim",262.413493383732
"Não","Sim","Liberado","Sim","Não","Não","MPV","Sim","Sim","Sim",255.333640279387
"Sim","Não","Liberado","Sim","Não","Não","MPV","Sim","Sim","Sim",242.112089168083
"Não","Não","Liberado","Sim","Não","Não","MPV","Sim","Sim","Sim",237.516200800485
"Sim","Liberado","Liberado","Sim","Não","Não","MPV","Sim","Sim","Sim",249.454056720341
"Não","Liberado","Liberado","Sim","Não","Não","MPV","Sim","Sim","Sim",247.724737649661
"Sim","Sim","Sim","Não","Não","Não","MPV","Sim","Sim","Sim",272.01303818124
"Não","Sim","Sim","Não","Não","Não","MPV","Sim","Sim","Sim",256.282711846552
"Sim","Não","Sim","Não","Não","Não","MPV","Sim","Sim","Sim",251.395774835824
"Não","Não","Sim","Não","Não","Não","MPV","Sim","Sim","Sim",237.912897880401
"Sim","Liberado","Sim","Não","Não","Não","MPV","Sim","Sim","Sim",259.123833959179
"Não","Liberado","Sim","Não","Não","Não","MPV","Sim","Sim","Sim",247.450044340766
"Sim","Sim","Não","Não","Não","Não","MPV","Sim","Sim","Sim",202.257111529985
"Não","Sim","Não","Não","Não","Não","MPV","Sim","Sim","Sim",185.924387420394
"Sim","Não","Não","Não","Não","Não","MPV","Sim","Sim","Sim",175.902729303161
"Não","Não","Não","Não","Não","Não","MPV","Sim","Sim","Sim",158.1147595993
"Sim","Liberado","Não","Não","Não","Não","MPV","Sim","Sim","Sim",188.130271983636
"Não","Liberado","Não","Não","Não","Não","MPV","Sim","Sim","Sim",171.229508175286
"Sim","Sim","Liberado","Não","Não","Não","MPV","Sim","Sim","Sim",236.363078594098
"Não","Sim","Liberado","Não","Não","Não","MPV","Sim","Sim","Sim",223.617869299396
"Sim","Não","Liberado","Não","Não","Não","MPV","Sim","Sim","Sim",214.226242040891
"Não","Não","Liberado","Não","Não","Não","MPV","Sim","Sim","Sim",202.157642326336
"Sim","Liberado","Liberado","Não","Não","Não","MPV","Sim","Sim","Sim",224.600725927378
"Não","Liberado","Liberado","Não","Não","Não","MPV","Sim","Sim","Sim",214.872836791815
"Sim","Sim","Sim","Liberado","Não","Não","MPV","Sim","Sim","Sim",281.020248238942
