"","dem","gov","minoria","pcdob","pdt","pen","phs","pmdb","pmn","pps","pr","prb","prp","prtb","psb","psc","psd","psdb","psdc","psol","pt","ptb","ptn","pv"
"pr",0.296296296296296,0.888888888888889,0.231481481481481,0.814814814814815,0.638888888888889,0.87037037037037,0.87037037037037,0.87037037037037,0.898148148148148,0.277777777777778,1,0.898148148148148,0.898148148148148,0.898148148148148,0.435185185185185,0.87037037037037,0.888888888888889,0.268518518518519,0.898148148148148,0.361111111111111,0.851851851851852,0.87037037037037,0.898148148148148,0.287037037037037
"prb",0.268518518518519,0.907407407407407,0.222222222222222,0.842592592592593,0.657407407407407,0.833333333333333,0.833333333333333,0.833333333333333,1,0.259259259259259,0.898148148148148,1,1,1,0.425925925925926,0.833333333333333,0.824074074074074,0.240740740740741,1,0.37962962962963,0.87037037037037,0.833333333333333,1,0.277777777777778
"prp",0.268518518518519,0.907407407407407,0.222222222222222,0.842592592592593,0.657407407407407,0.833333333333333,0.833333333333333,0.833333333333333,1,0.259259259259259,0.898148148148148,1,1,1,0.425925925925926,0.833333333333333,0.824074074074074,0.240740740740741,1,0.37962962962963,0.87037037037037,0.833333333333333,1,0.277777777777778
"prtb",0.268518518518519,0.907407407407407,0.222222222222222,0.842592592592593,0.657407407407407,0.833333333333333,0.833333333333333,0.833333333333333,1,0.259259259259259,0.898148148148148,1,1,1,0.425925925925926,0.833333333333333,0.824074074074074,0.240740740740741,1,0.37962962962963,0.87037037037037,0.833333333333333,1,0.277777777777778
"psb",0.712962962962963,0.435185185185185,0.666666666666667,0.435185185185185,0.592592592592593,0.444444444444444,0.444444444444444,0.444444444444444,0.425925925925926,0.731481481481482,0.435185185185185,0.425925925925926,0.425925925925926,0.425925925925926,1,0.444444444444444,0.462962962962963,0.694444444444444,0.425925925925926,0.694444444444444,0.416666666666667,0.444444444444444,0.425925925925926,0.462962962962963
"psc",0.305555555555556,0.805555555555556,0.259259259259259,0.731481481481482,0.583333333333333,1,1,1,0.833333333333333,0.333333333333333,0.87037037037037,0.833333333333333,0.833333333333333,0.833333333333333,0.444444444444444,1,0.851851851851852,0.324074074074074,0.833333333333333,0.342592592592593,0.768518518518518,1,0.833333333333333,0.305555555555556
"psd",0.287037037037037,0.833333333333333,0.277777777777778,0.777777777777778,0.648148148148148,0.851851851851852,0.851851851851852,0.851851851851852,0.824074074074074,0.342592592592593,0.888888888888889,0.824074074074074,0.824074074074074,0.824074074074074,0.462962962962963,0.851851851851852,1,0.296296296296296,0.824074074074074,0.37962962962963,0.796296296296296,0.851851851851852,0.824074074074074,0.324074074074074
"psdb",0.935185185185185,0.222222222222222,0.87037037037037,0.240740740740741,0.462962962962963,0.324074074074074,0.324074074074074,0.324074074074074,0.240740740740741,0.907407407407407,0.268518518518519,0.240740740740741,0.240740740740741,0.240740740740741,0.694444444444444,0.324074074074074,0.296296296296296,1,0.240740740740741,0.611111111111111,0.203703703703704,0.324074074074074,0.240740740740741,0.518518518518518
"psdc",0.268518518518519,0.907407407407407,0.222222222222222,0.842592592592593,0.657407407407407,0.833333333333333,0.833333333333333,0.833333333333333,1,0.259259259259259,0.898148148148148,1,1,1,0.425925925925926,0.833333333333333,0.824074074074074,0.240740740740741,1,0.37962962962963,0.87037037037037,0.833333333333333,1,0.277777777777778
"psol",0.574074074074074,0.435185185185185,0.537037037037037,0.490740740740741,0.601851851851852,0.342592592592593,0.342592592592593,0.342592592592593,0.37962962962963,0.666666666666667,0.361111111111111,0.37962962962963,0.37962962962963,0.37962962962963,0.694444444444444,0.342592592592593,0.37962962962963,0.611111111111111,0.37962962962963,1,0.453703703703704,0.342592592592593,0.37962962962963,0.416666666666667
"pt",0.222222222222222,0.962962962962963,0.148148148148148,0.944444444444444,0.62037037037037,0.768518518518518,0.768518518518518,0.768518518518518,0.87037037037037,0.25,0.851851851851852,0.87037037037037,0.87037037037037,0.87037037037037,0.416666666666667,0.768518518518518,0.796296296296296,0.203703703703704,0.87037037037037,0.453703703703704,1,0.768518518518518,0.87037037037037,0.277777777777778
"ptb",0.305555555555556,0.805555555555556,0.259259259259259,0.731481481481482,0.583333333333333,1,1,1,0.833333333333333,0.333333333333333,0.87037037037037,0.833333333333333,0.833333333333333,0.833333333333333,0.444444444444444,1,0.851851851851852,0.324074074074074,0.833333333333333,0.342592592592593,0.768518518518518,1,0.833333333333333,0.305555555555556
"ptn",0.268518518518519,0.907407407407407,0.222222222222222,0.842592592592593,0.657407407407407,0.833333333333333,0.833333333333333,0.833333333333333,1,0.259259259259259,0.898148148148148,1,1,1,0.425925925925926,0.833333333333333,0.824074074074074,0.240740740740741,1,0.37962962962963,0.87037037037037,0.833333333333333,1,0.277777777777778
"pv",0.509259259259259,0.268518518518519,0.481481481481481,0.287037037037037,0.416666666666667,0.305555555555556,0.305555555555556,0.305555555555556,0.277777777777778,0.509259259259259,0.287037037037037,0.277777777777778,0.277777777777778,0.277777777777778,0.462962962962963,0.305555555555556,0.324074074074074,0.518518518518518,0.277777777777778,0.416666666666667,0.277777777777778,0.305555555555556,0.277777777777778,1
