"gov","minoria","pmdb","psd","psdb","pt","resultado","KIND"
"0","0","1","2","1","0","0.674",0
"2","1","1","2","1","0","0.854",0
"0","1","1","2","1","0","0.74",0
"2","2","2","0","1","0","0.618",0
"0","2","2","0","1","0","0.334",0
"2","0","2","0","1","0","0.658",0
"0","0","2","0","1","0","0.376",0
"2","1","2","0","1","0","0.692",0
"0","1","2","0","1","0","0.412",0
"2","2","0","0","1","0","0.298",0
"0","2","0","0","1","0","0",0
"2","0","0","0","1","0","0.294",0
"0","0","0","0","1","0","0.01",0
"2","1","0","0","1","0","0.388",0
"0","1","0","0","1","0","0.036",0
"2","2","1","0","1","0","0.38",0
"0","2","1","0","1","0","0.094",0
"2","0","1","0","1","0","0.388",0
"0","0","1","0","1","0","0.112",0
"2","1","1","0","1","0","0.468",0
"0","1","1","0","1","0","0.146",0
"2","2","2","1","1","0","0.914",0
"0","2","2","1","1","0","0.834",0
"2","0","2","1","1","0","0.886",0
"0","0","2","1","1","0","0.768",0
"2","1","2","1","1","0","0.912",0
"0","1","2","1","1","0","0.8",0
"2","2","0","1","1","0","0.678",0
"0","2","0","1","1","0","0.528",0
"2","0","0","1","1","0","0.584",0
"0","0","0","1","1","0","0.4",0
"2","1","0","1","1","0","0.692",0
"0","1","0","1","1","0","0.45",0
"2","2","1","1","1","0","0.786",0
"0","2","1","1","1","0","0.69",0
"2","0","1","1","1","0","0.724",0
"0","0","1","1","1","0","0.582",0
"2","1","1","1","1","0","0.792",0
"0","1","1","1","1","0","0.638",0
"2","2","2","2","2","2","0.99",0
"0","2","2","2","2","2","0.962",0
"2","0","2","2","2","2","0.98",0
"0","0","2","2","2","2","0.904",0
"2","1","2","2","2","2","0.972",0
"0","1","2","2","2","2","0.932",0
"2","2","0","2","2","2","0.836",0
"0","2","0","2","2","2","0.794",0
"2","0","0","2","2","2","0.766",0
"0","0","0","2","2","2","0.68",0
"2","1","0","2","2","2","0.856",0
"0","1","0","2","2","2","0.766",0
"2","2","1","2","2","2","0.888",0
"0","2","1","2","2","2","0.866",0
"2","0","1","2","2","2","0.856",0
"0","0","1","2","2","2","0.778",0
"2","1","1","2","2","2","0.896",0
"0","1","1","2","2","2","0.844",0
"2","2","2","0","2","2","0.726",0
"0","2","2","0","2","2","0.588",0
"2","0","2","0","2","2","0.738",0
"0","0","2","0","2","2","0.582",0
"2","1","2","0","2","2","0.78",0
"0","1","2","0","2","2","0.646",0
"2","2","0","0","2","2","0.458",0
"0","2","0","0","2","2","0.332",0
"2","0","0","0","2","2","0.432",0
"0","0","0","0","2","2","0.294",0
"2","1","0","0","2","2","0.546",0
"0","1","0","0","2","2","0.394",0
"2","2","1","0","2","2","0.514",0
"0","2","1","0","2","2","0.404",0
"2","0","1","0","2","2","0.494",0
"0","0","1","0","2","2","0.366",0
"2","1","1","0","2","2","0.596",0
"0","1","1","0","2","2","0.47",0
"2","2","2","1","2","2","0.948",0
"0","2","2","1","2","2","0.904",0
"2","0","2","1","2","2","0.916",0
"0","0","2","1","2","2","0.838",0
"2","1","2","1","2","2","0.942",0
"0","1","2","1","2","2","0.88",0
"2","2","0","1","2","2","0.78",0
"0","2","0","1","2","2","0.68",0
"2","0","0","1","2","2","0.706",0
"0","0","0","1","2","2","0.578",0
"2","1","0","1","2","2","0.822",0
"0","1","0","1","2","2","0.668",0
"2","2","1","1","2","2","0.842",0
"0","2","1","1","2","2","0.788",0
"2","0","1","1","2","2","0.792",0
"0","0","1","1","2","2","0.698",0
"2","1","1","1","2","2","0.862",0
"0","1","1","1","2","2","0.774",0
"2","2","2","2","0","2","0.972",0
"0","2","2","2","0","2","0.892",0
"2","0","2","2","0","2","0.964",0
"0","0","2","2","0","2","0.834",0
"2","1","2","2","0","2","0.954",0
"0","1","2","2","0","2","0.864",0
"2","2","0","2","0","2","0.708",0
"0","2","0","2","0","2","0.636",0
"2","0","0","2","0","2","0.64",0
"0","0","0","2","0","2","0.522",0
"2","1","0","2","0","2","0.724",0
"0","1","0","2","0","2","0.602",0
"2","2","1","2","0","2","0.814",0
"0","2","1","2","0","2","0.75",0
"2","0","1","2","0","2","0.79",0
"0","0","1","2","0","2","0.666",0
"2","1","1","2","0","2","0.812",0
"0","1","1","2","0","2","0.72",0
"2","2","2","0","0","2","0.672",0
"0","2","2","0","0","2","0.542",0
"2","0","2","0","0","2","0.682",0
"0","0","2","0","0","2","0.534",0
"2","1","2","0","0","2","0.728",0
"0","1","2","0","0","2","0.598",0
"2","2","0","0","0","2","0.238",0
"0","2","0","0","0","2","0.196",0
"2","0","0","0","0","2","0.21",0
"0","0","0","0","0","2","0.16",0
"2","1","0","0","0","2","0.258",0
"0","1","0","0","0","2","0.206",0
"2","2","1","0","0","2","0.35",0
"0","2","1","0","0","2","0.294",0
"2","0","1","0","0","2","0.328",0
"0","0","1","0","0","2","0.256",0
"2","1","1","0","0","2","0.402",0
"0","1","1","0","0","2","0.33",0
"2","2","2","1","0","2","0.87",0
"0","2","2","1","0","2","0.812",0
"2","0","2","1","0","2","0.83",0
"0","0","2","1","0","2","0.74",0
"2","1","2","1","0","2","0.856",0
"0","1","2","1","0","2","0.786",0
"2","2","0","1","0","2","0.55",0
"0","2","0","1","0","2","0.49",0
"2","0","0","1","0","2","0.462",0
"0","0","0","1","0","2","0.38",0
"2","1","0","1","0","2","0.56",0
"0","1","0","1","0","2","0.458",0
"2","2","1","1","0","2","0.67",0
"0","2","1","1","0","2","0.628",0
"2","0","1","1","0","2","0.614",0
"0","0","1","1","0","2","0.536",0
"2","1","1","1","0","2","0.674",0
"0","1","1","1","0","2","0.608",0
"2","2","2","2","1","2","0.97",0
"0","2","2","2","1","2","0.926",0
"2","0","2","2","1","2","0.958",0
"0","0","2","2","1","2","0.868",0
