"ID_VOTACAO","governismo","grupo_governismo","DATA","HORA","ORIENTACAO_GOVERNO","TIPO","NUMERO","ANO","EMENTA","O_QUE_FOI_VOTADO","LINGUAGEM_COMUM"
"6330881867ed7cf9308397114bcbe09f",0.974160206718346,1,150416,"17:12:00","Sim","PLP",13,2015,"Altera a redação do art. 3.º da Lei Complementar 79, de 7 de janeiro de 1994, que 'cria o Fundo Penitenciário Nacional - FUNPEN, e dá outras providências.","Aprovado o Projeto de Lei Complementar nº 13 de 2015. Sim: 377; não: 10; total: 387.",""
"74c7ed71ae47dac17f13f4da525a703f",0.988789237668161,1,150324,"21:51:00","Sim","PEC",590,2006,"Dá nova redação ao § 1º do art. 58 da Constituição Federal, para garantir a representação proporcional de cada sexo na composição das Mesas e Comissões do Congresso Nacional, da Câmara dos Deputados e do Senado Federal.","Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 590 de 2006. Sim: 441; não: 5; abstenção: 2; total: 448.","Cota de mulheres na Mesa Diretora"
"7b244d40f0875015437c62c13a3a6645",0.609947643979058,0,150310,"20:58:00","Sim","PL",7924,2014,"Dispõe sobre o subsídio do Defensor Público-Geral  Federal e dá outras providências.","Aprovado o Requerimento. Sim: 233; não: 149; abstenção: 01; total: 383.","Salário do Defensor Público-Geral Federal"
"7f6ad78020eb19b6e80bd7e9958c88d5",0.31043956043956,0,150324,"18:56:00","Não","REQ",1118,2015,"Com base no art. 155 do Regimento Interno, requeremos regime de urgência para a apreciação do PL 7885/2014.","","Perda de cargo de policiais que usarem tortura"
"7ff749b3a86603743de85954575fd005",0.521978021978022,0,150312,"17:26:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","Aprovado o destaque de preferência. Sim: 190; não: 174; total: 364 (verificação de ofício).","Regulamentação do trabalho doméstico"
"841bb7aad0e6fe30195f44d2dad511e7",0.455919395465995,0,150330,"19:11:00","Não","REQ",1129,2015,"Requer urgência, nos termos do art. 155, do Regimento Interno da Câmara dos Deputados, para apreciação do PL 5773/2013, de autoria do Deputado Onyx Lorenzoni, que altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940, acrescentando o art. 288 - B, tipificando o crime de terrorismo, e dá outras disposições.","Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 216; Não: 181; abstenção: 1; total: 398 .","Tipifica crime de terrorismo"
"8e9075921e0c91410d64f6964d2cc33b",0.729442970822281,0,150317,"18:25:00","Sim","PLP",302,2013,"Dispõe sobre o contrato de trabalho doméstico; altera as Leis nº 8.212, de 24 de julho de 1991, nº 8.213, de 24 de julho de 1991, e Lei nº 11.196, de 21 de novembro de 2005; revoga o inciso I do art. 3º da Lei nº 8.009, de 29 de março de 1990, o art. 36 da Lei nº 8.213, de 24 de julho de 1991, a Lei nº 5.859, de 11 de dezembro de 1972, e o inciso VII do art. 12 da Lei nº 9.250, de 26 de dezembro 1995; e dá outras providências.","Mantido o texto destacado. Sim: 275; não: 102; total: 377.","Regulamentação do trabalho doméstico"
"94a65d42b18f63293e20f9f0d55e7682",0.227373068432671,0,150415,"21:07:00","Não","MPV",660,2014,"Altera a Lei nº 12.800, de 23 de abril de 2013, que dispõe sobre as tabelas de salários, vencimentos, soldos e demais vantagens aplicáveis aos servidores civis, aos militares e  aos  empregados  oriundos   do ex-Território Federal de Rondônia integrantes do quadro em extinção de que trata o art. 85 da Lei nº 12.249, de 11 de junho de 2010, e os Anexos III e III-A da Lei nº 11.356, de 19 de outubro de 2006; e dá outras providências.","Aprovada a Emenda nº 1 do Senado Federal. Sim: 350; não: 103; abstenção: 1; total: 454.",""
"9d1115f91ff0593ba674798ac64b2f61",0.439093484419263,0,150319,"17:31:00","Sim","PDC",1287,2013,"Aprova o texto da Convenção que estabelece a Organização Europeia para a Pesquisa Astronômica no Hemisfério Austral, assinado em Brasília, em 29 de dezembro de 2010, e os demais atos internacionais a ela anexados, que especifica.","Rejeitado o Requerimento. Sim: 155; não: 198; abstenção: 1; total: 354.","Adesão do Brasil a organização astronômica internacional"
"a1f2f1f88fa67cd6b3048aeae98c8394",0.961702127659574,1,150210,"20:07:00","Sim","PEC",358,2013,"Altera os arts. 165 e 166 da Constituição Federal, para tornar obrigatória a execução da programação orçamentária que especifica.","Aprovada, em segundo turno, a Proposta de Emenda à Constituição nº 358 de 2013, ressalvado o destaque. Sim: 452; não: 18; abstenção: 01; total: 471.","PEC do Orçamento Impositivo"
