"gov","minoria","pmdb","psd","psdb","pt","PMDB","PSDB","PSD","PT","resultado"
"Não","Sim","Sim","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.648
"Sim","Não","Sim","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.664
"Não","Não","Sim","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.618
"Sim","Liberado","Sim","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.696
"Não","Liberado","Sim","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.64
"Sim","Sim","Não","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.43
"Não","Sim","Não","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.388
"Sim","Não","Não","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.374
"Não","Não","Não","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.328
"Sim","Liberado","Não","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.422
"Não","Liberado","Não","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.374
"Sim","Sim","Liberado","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.486
"Não","Sim","Liberado","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.44
"Sim","Não","Liberado","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.444
"Não","Não","Liberado","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.406
"Sim","Liberado","Liberado","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.49
"Não","Liberado","Liberado","Não","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.444
"Sim","Sim","Sim","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.794
"Não","Sim","Sim","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.796
"Sim","Não","Sim","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.712
"Não","Não","Sim","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.734
"Sim","Liberado","Sim","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.79
"Não","Liberado","Sim","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.782
"Sim","Sim","Não","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.758
"Não","Sim","Não","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.74
"Sim","Não","Não","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.69
"Não","Não","Não","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.678
"Sim","Liberado","Não","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.778
"Não","Liberado","Não","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.746
"Sim","Sim","Liberado","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.764
"Não","Sim","Liberado","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.762
"Sim","Não","Liberado","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.7
"Não","Não","Liberado","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.712
"Sim","Liberado","Liberado","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.78
"Não","Liberado","Liberado","Liberado","Não","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.768
"Sim","Sim","Sim","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.838
"Não","Sim","Sim","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Sim","Não","Sim","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.756
"Não","Não","Sim","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.768
"Sim","Liberado","Sim","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.83
"Não","Liberado","Sim","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.808
"Sim","Sim","Não","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.804
"Não","Sim","Não","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.778
"Sim","Não","Não","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.738
"Não","Não","Não","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.718
"Sim","Liberado","Não","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.824
"Não","Liberado","Não","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.78
"Sim","Sim","Liberado","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.796
"Não","Sim","Liberado","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.786
"Sim","Não","Liberado","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.734
"Não","Não","Liberado","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.738
"Sim","Liberado","Liberado","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.814
"Não","Liberado","Liberado","Sim","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.79
"Sim","Sim","Sim","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.744
"Não","Sim","Sim","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.678
"Sim","Não","Sim","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.706
"Não","Não","Sim","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.648
"Sim","Liberado","Sim","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.738
"Não","Liberado","Sim","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.67
"Sim","Sim","Não","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.538
"Não","Sim","Não","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.47
"Sim","Não","Não","Não","Liberado","Sim",0.889251750414757,0.586344896933132,0.666760710553814,0.789655172413793,0.486
